date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
36483,0.889253,6,0.06383,0.029212,0.405832,0.00183,0.406784,0.546491,UP
10472,0.031149,3,0.170213,0.053321,0.160964,0.003467,0.422915,0.414912,DOWN
22009,0.455732,5,0.531915,0.033505,0.541654,0.00221,0.575091,0.682018,DOWN
42030,0.903544,2,0.638298,0.082353,0.481404,0.005598,0.470999,0.501316,UP
26861,0.469404,1,0.617021,0.030833,0.306456,0.002015,0.170378,0.757895,UP
6753,0.018451,2,0.702128,0.056923,0.48319,0.003467,0.422915,0.414912,DOWN
5111,0.013893,3,0.489362,0.057043,0.581821,0.003467,0.422915,0.414912,DOWN
17699,0.442547,6,0.744681,0.132701,0.670931,0.008656,0.621958,0.500526,UP
8954,0.026636,6,0.553191,0.059865,0.316424,0.003467,0.422915,0.414912,DOWN
34037,0.880846,4,0.106383,0.028732,0.208123,0.001377,0.306318,0.767982,UP
14081,0.429937,1,0.361702,0.106911,0.635674,0.003467,0.422915,0.414912,UP
20070,0.447812,7,0.12766,0.008466,0.272984,0.000534,0.278612,0.638596,DOWN
35467,0.885226,5,0.914894,0.027201,0.427403,0.001876,0.398757,0.425877,DOWN
42427,0.906995,3,0.914894,0.042092,0.372806,0.002929,0.601243,0.185965,DOWN
11663,0.424627,6,1.0,0.058394,0.208123,0.003467,0.422915,0.414912,DOWN
19819,0.447547,1,0.914894,0.0399,0.494942,0.002673,0.331693,0.596491,UP
27261,0.469758,2,0.957447,0.040771,0.438262,0.002759,0.278871,0.502632,DOWN
17096,0.438963,1,0.170213,0.048037,0.100268,0.003467,0.422915,0.414912,DOWN
29531,0.867395,1,0.234043,0.020926,0.102202,0.000841,0.111859,0.902632,DOWN
14632,0.433609,5,0.851064,0.049267,0.381732,0.003467,0.422915,0.414912,DOWN
44864,0.912305,5,0.680851,0.109733,0.500595,0.007599,0.705334,0.165789,UP
4563,0.013406,6,0.06383,0.076258,0.461767,0.003467,0.422915,0.414912,DOWN
43824,0.911376,5,0.0,0.046926,0.406724,0.003145,0.40523,0.546491,DOWN
29230,0.867086,1,0.978723,0.030623,0.254537,0.002081,0.202745,0.534211,UP
17649,0.442503,5,0.702128,0.071304,0.506843,0.004913,0.568358,0.500526,UP
26900,0.469448,2,0.425532,0.055632,0.506397,0.003716,0.516054,0.394298,UP
20241,0.451042,3,0.702128,0.042572,0.701577,0.002823,0.594511,0.419737,DOWN
3700,0.009557,2,0.085106,0.041492,0.401369,0.003467,0.422915,0.414912,DOWN
39712,0.898367,3,0.340426,0.083343,0.688188,0.005496,0.668824,0.518421,UP
3375,0.009247,2,0.319149,0.103759,0.741148,0.003467,0.422915,0.414912,UP
43348,0.90788,2,0.085106,0.035907,0.135823,0.00242,0.283532,0.447807,DOWN
29041,0.866953,5,0.021277,0.034346,0.260785,0.002513,0.209218,0.661404,DOWN
40198,0.89881,6,0.468085,0.059085,0.534514,0.003899,0.608493,0.50307,UP
11017,0.031636,7,0.531915,0.079861,0.304969,0.003467,0.422915,0.414912,UP
19979,0.447724,5,0.234043,0.022577,0.325052,0.001423,0.289228,0.742105,DOWN
12426,0.425335,1,0.893617,0.100276,0.433948,0.003467,0.422915,0.414912,UP
42443,0.90704,4,0.234043,0.041642,0.239512,0.002792,0.318488,0.531579,DOWN
42117,0.903633,4,0.446809,0.085475,0.576614,0.005592,0.44407,0.684211,UP
23695,0.460334,5,0.659574,0.033205,0.457751,0.00232,0.527447,0.152632,DOWN
42267,0.906863,7,0.574468,0.041011,0.363285,0.002686,0.214138,0.667544,DOWN
9954,0.027565,6,0.382979,0.074817,0.408807,0.003467,0.422915,0.414912,UP
2035,0.004911,2,0.404255,0.091119,0.645195,0.003467,0.422915,0.414912,DOWN
2072,0.004956,3,0.170213,0.042272,0.202618,0.003467,0.422915,0.414912,DOWN
22617,0.456307,4,0.191489,0.021166,0.229842,0.001415,0.282237,0.732895,DOWN
36038,0.977744,3,0.808511,0.053411,0.692502,0.003718,0.634127,0.333772,DOWN
41648,0.90319,1,0.680851,0.054461,0.317019,0.003278,0.194977,0.821053,DOWN
12292,0.425247,6,0.085106,0.073946,0.137162,0.003467,0.422915,0.414912,UP
33362,0.880227,4,0.042553,0.038279,0.353615,0.002522,0.380891,0.470614,DOWN
41752,0.903279,3,0.851064,0.038459,0.478875,0.002619,0.471517,0.345614,DOWN
16112,0.438034,1,0.680851,0.073136,0.455222,0.003467,0.422915,0.414912,UP
2091,0.004956,3,0.574468,0.042392,0.502827,0.003467,0.422915,0.414912,DOWN
2815,0.008716,4,0.659574,0.075417,0.497322,0.003467,0.422915,0.414912,DOWN
20972,0.451706,4,0.93617,0.038669,0.662749,0.002565,0.472812,0.70307,DOWN
35722,0.885492,4,0.212766,0.029633,0.199345,0.001884,0.263853,0.809649,DOWN
12821,0.425733,3,0.106383,0.055242,0.132104,0.003467,0.422915,0.414912,DOWN
3279,0.009159,7,0.319149,0.082263,0.326391,0.003467,0.422915,0.414912,UP
29895,0.867705,1,0.829787,0.031284,0.395716,0.00146,0.274987,0.836842,DOWN
38206,0.893899,6,0.978723,0.061427,0.642666,0.004028,0.551528,0.589035,DOWN
18370,0.443166,6,0.723404,0.05242,0.635823,0.003552,0.536769,0.536404,UP
43572,0.908057,6,0.765957,0.043803,0.46504,0.002948,0.445106,0.392982,DOWN
32849,0.876687,7,0.361702,0.030533,0.481702,0.001882,0.358364,0.623684,UP
27793,0.473386,7,0.021277,0.030563,0.306308,0.002113,0.290264,0.363158,DOWN
45261,0.915756,6,0.957447,0.074997,0.444957,0.005152,0.2913,0.334211,UP
5917,0.017698,6,0.276596,0.066591,0.253347,0.003467,0.422915,0.414912,DOWN
34010,0.880802,3,0.553191,0.027441,0.419964,0.001822,0.458053,0.617982,DOWN
45082,0.915623,3,0.212766,0.084604,0.323118,0.005586,0.338944,0.552193,UP
31365,0.87213,4,0.446809,0.028612,0.533026,0.001847,0.58001,0.633772,UP
8669,0.026371,7,0.617021,0.074517,0.252008,0.003467,0.422915,0.414912,UP
21693,0.452369,5,0.957447,0.037679,0.632699,0.002563,0.443553,0.607895,DOWN
24740,0.464404,6,0.425532,0.11793,0.528414,0.007972,0.504661,0.467544,UP
36843,0.889562,6,0.574468,0.028942,0.526778,0.002052,0.573019,0.286404,DOWN
36173,0.991018,6,0.617021,0.027291,0.471883,0.001865,0.512947,0.533772,DOWN
2922,0.008805,6,0.893617,0.041582,0.457899,0.003467,0.422915,0.414912,DOWN
33921,0.880713,1,0.702128,0.031434,0.284885,0.000951,0.264371,0.765789,DOWN
25101,0.464714,6,0.957447,0.028852,0.404344,0.001961,0.308907,0.535088,DOWN
13442,0.429362,2,0.042553,0.056593,0.228206,0.003467,0.422915,0.414912,DOWN
34281,0.881067,2,0.191489,0.020506,0.121244,0.000912,0.221906,0.849123,DOWN
19554,0.447325,3,0.382979,0.076378,0.747397,0.005413,0.666753,0.340789,UP
30941,0.871731,2,0.617021,0.028071,0.530497,0.001795,0.553599,0.697368,UP
42982,0.907526,1,0.468085,0.042002,0.38679,0.002711,0.248835,0.675439,DOWN
9468,0.027123,3,0.255319,0.083794,0.379054,0.003467,0.422915,0.414912,UP
1814,0.00469,4,0.808511,0.160532,0.747694,0.003467,0.422915,0.414912,UP
33202,0.876997,7,0.723404,0.035967,0.39393,0.002391,0.2913,0.534649,UP
11420,0.03199,1,0.93617,0.086015,0.323862,0.003467,0.422915,0.414912,UP
27799,0.473386,7,0.148936,0.025249,0.123921,0.001724,0.176334,0.44386,DOWN
37811,0.893545,5,0.744681,0.138405,0.859566,0.009273,0.758933,0.425,UP
2128,0.005,4,0.340426,0.042572,0.612913,0.003467,0.422915,0.414912,DOWN
14845,0.43383,3,0.276596,0.047436,0.454627,0.003467,0.422915,0.414912,DOWN
10347,0.031016,7,0.574468,0.074817,0.219429,0.003467,0.422915,0.414912,UP
17624,0.442503,5,0.170213,0.034556,0.142963,0.002275,0.226567,0.500526,DOWN
14889,0.433875,4,0.191489,0.044884,0.210057,0.003467,0.422915,0.414912,DOWN
25167,0.473563,1,0.319149,0.024439,0.184915,0.001633,0.083118,0.74386,DOWN
21595,0.452281,3,0.914894,0.033295,0.605326,0.002208,0.483687,0.767105,DOWN
16346,0.438255,6,0.553191,0.056833,0.357334,0.003467,0.422915,0.414912,DOWN
13495,0.429406,3,0.148936,0.067341,0.163195,0.003467,0.422915,0.414912,DOWN
33693,0.880492,3,0.957447,0.035427,0.448081,0.002345,0.344381,0.562719,DOWN
6120,0.017875,3,0.510638,0.056263,0.467718,0.003467,0.422915,0.414912,DOWN
6282,0.018008,6,0.893617,0.069713,0.358227,0.003467,0.422915,0.414912,DOWN
41129,0.902703,4,0.87234,0.055392,0.519935,0.003716,0.541947,0.454825,DOWN
12929,0.425822,5,0.361702,0.096673,0.56501,0.003467,0.422915,0.414912,UP
24551,0.46113,2,0.489362,0.031134,0.48438,0.00211,0.465303,0.375,DOWN
21321,0.45206,5,0.191489,0.033055,0.268968,0.002214,0.308131,0.745614,DOWN
2485,0.005309,4,0.787234,0.089798,0.757215,0.003467,0.422915,0.414912,UP
36142,0.986594,5,0.978723,0.132281,0.547754,0.009084,0.452097,0.494737,UP
26922,0.469448,2,0.893617,0.028552,0.37712,0.001907,0.306836,0.632018,DOWN
33131,0.876952,6,0.234043,0.040351,0.409551,0.002634,0.394873,0.491228,UP
23046,0.456705,6,0.12766,0.028882,0.284885,0.001849,0.33247,0.771053,DOWN
38985,0.894651,2,0.191489,0.025009,0.193395,0.001639,0.273692,0.644737,DOWN
38565,0.894252,7,0.446809,0.088567,0.638352,0.004225,0.45391,0.649561,UP
12766,0.425645,1,0.978723,0.078119,0.335466,0.003467,0.422915,0.414912,UP
26822,0.46936,7,0.808511,0.029663,0.349896,0.001978,0.271362,0.600877,DOWN
13387,0.429273,7,0.914894,0.090969,0.424278,0.003467,0.422915,0.414912,UP
33210,0.876997,7,0.893617,0.033175,0.335912,0.002185,0.226308,0.623246,DOWN
27426,0.469935,6,0.382979,0.045635,0.679411,0.003122,0.502071,0.33114,DOWN
4154,0.013008,4,0.553191,0.041732,0.524249,0.003467,0.422915,0.414912,DOWN
42714,0.907261,2,0.893617,0.089918,0.415799,0.005899,0.58985,0.497807,DOWN
44050,0.911553,2,0.723404,0.044284,0.483487,0.002919,0.488866,0.538158,DOWN
37269,0.889961,1,0.446809,0.05254,0.523207,0.002316,0.323666,0.700877,DOWN
5068,0.013849,2,0.595745,0.067071,0.508331,0.003467,0.422915,0.414912,DOWN
42062,0.903588,3,0.297872,0.033415,0.357632,0.002246,0.303729,0.480263,DOWN
43399,0.907924,3,0.148936,0.041522,0.157542,0.002759,0.277835,0.558333,DOWN
11506,0.424494,3,0.723404,0.058394,0.198304,0.003467,0.422915,0.414912,DOWN
45281,0.9158,7,0.361702,0.080851,0.471735,0.005548,0.365355,0.395614,UP
31205,0.871997,1,0.106383,0.025519,0.115888,0.000821,0.207405,0.754386,DOWN
7537,0.0223,5,0.021277,0.056293,0.385897,0.003467,0.422915,0.414912,DOWN
28476,0.474006,7,0.255319,0.027951,0.220916,0.001778,0.227084,0.807018,DOWN
2713,0.008628,2,0.531915,0.074817,0.529753,0.003467,0.422915,0.414912,DOWN
31485,0.872218,6,0.957447,0.028672,0.446593,0.000833,0.267737,0.797807,DOWN
14091,0.429937,1,0.574468,0.113276,0.6626,0.003467,0.422915,0.414912,UP
1842,0.004734,5,0.382979,0.075117,0.673163,0.003467,0.422915,0.414912,DOWN
30859,0.871643,7,0.914894,0.029182,0.419369,0.001816,0.258674,0.896053,DOWN
37659,0.890315,2,0.574468,0.028852,0.586135,0.002044,0.629726,0.382018,DOWN
30034,0.867838,4,0.723404,0.036328,0.500744,0.002416,0.607716,0.320175,UP
45032,0.912482,2,0.170213,0.042752,0.167807,0.002808,0.212843,0.636404,DOWN
9642,0.027255,6,0.893617,0.083463,0.317316,0.003467,0.422915,0.414912,DOWN
27809,0.473386,7,0.361702,0.044944,0.47114,0.003051,0.355256,0.472807,UP
40483,0.899075,5,0.404255,0.096553,0.667658,0.006421,0.667012,0.487281,UP
33108,0.876908,5,0.765957,0.028822,0.509372,0.001743,0.435267,0.615351,DOWN
7442,0.022211,3,0.042553,0.074517,0.390509,0.003467,0.422915,0.414912,UP
43060,0.907615,3,0.085106,0.047586,0.277447,0.00322,0.42465,0.442982,DOWN
5471,0.014203,3,1.0,0.040711,0.490181,0.003467,0.422915,0.414912,DOWN
32405,0.876289,5,0.106383,0.020055,0.156204,0.00098,0.300104,0.835088,DOWN
44619,0.912084,7,0.574468,0.043653,0.329961,0.002916,0.337649,0.536404,DOWN
8279,0.022964,6,0.489362,0.081812,0.360458,0.003467,0.422915,0.414912,UP
11626,0.424627,6,0.212766,0.070854,0.087623,0.003467,0.422915,0.414912,DOWN
12181,0.425114,3,0.787234,0.062748,0.370723,0.003467,0.422915,0.414912,DOWN
11326,0.031901,6,0.978723,0.056923,0.215858,0.003467,0.422915,0.414912,DOWN
26602,0.469183,3,0.212766,0.040411,0.277298,0.002657,0.287934,0.575877,DOWN
27720,0.473298,5,0.510638,0.029182,0.576912,0.001969,0.511393,0.389474,UP
42272,0.906863,7,0.680851,0.037258,0.352574,0.002445,0.203521,0.689912,DOWN
6217,0.017964,5,0.531915,0.076318,0.48676,0.003467,0.422915,0.414912,DOWN
33352,0.877129,3,0.851064,0.034826,0.492859,0.002395,0.473071,0.338596,DOWN
20220,0.451042,3,0.255319,0.040831,0.423237,0.002688,0.384516,0.679825,DOWN
13998,0.429848,6,0.638298,0.106911,0.50119,0.003467,0.422915,0.414912,UP
27685,0.473253,4,0.787234,0.024919,0.431122,0.001672,0.283791,0.509649,DOWN
1288,0.004203,7,0.851064,0.044254,0.466677,0.003467,0.422915,0.414912,DOWN
23146,0.456794,1,0.212766,0.021166,0.105177,0.000976,0.142672,0.900877,DOWN
33543,0.880359,7,0.829787,0.040531,0.386492,0.002686,0.343086,0.54386,DOWN
37087,0.889784,4,0.659574,0.075898,0.671824,0.005363,0.618332,0.370175,UP
11825,0.424804,3,0.361702,0.058394,0.429188,0.003467,0.422915,0.414912,DOWN
19908,0.447635,3,0.765957,0.075748,0.828622,0.00517,0.73537,0.353947,UP
16261,0.438166,4,0.787234,0.099075,0.544927,0.003467,0.422915,0.414912,UP
43358,0.90788,2,0.297872,0.074847,0.473222,0.005075,0.544278,0.448684,UP
21152,0.451883,1,0.680851,0.032905,0.391253,0.002131,0.261264,0.764474,DOWN
4153,0.013008,4,0.531915,0.041732,0.530497,0.003467,0.422915,0.414912,DOWN
15995,0.437945,6,0.234043,0.0662,0.122136,0.003467,0.422915,0.414912,UP
26295,0.468873,3,0.829787,0.027111,0.404046,0.001807,0.253237,0.650877,DOWN
18082,0.442901,7,0.723404,0.05326,0.466082,0.003641,0.360435,0.380263,DOWN
43872,0.91142,6,0.0,0.047406,0.397352,0.003166,0.392802,0.524561,DOWN
39575,0.898235,7,0.489362,0.09244,0.58435,0.004497,0.415588,0.794298,UP
41235,0.902836,7,0.06383,0.070434,0.358673,0.004697,0.424909,0.589474,UP
20572,0.451352,3,0.595745,0.03996,0.536894,0.002601,0.609788,0.571491,DOWN
25467,0.500111,7,0.574468,0.053981,0.307647,0.003654,0.246245,0.451754,UP
16233,0.438166,4,0.191489,0.065089,0.14579,0.003467,0.422915,0.414912,DOWN
34876,0.884695,7,0.595745,0.030954,0.409848,0.00194,0.293889,0.682456,DOWN
11022,0.031636,7,0.638298,0.079861,0.32163,0.003467,0.422915,0.414912,UP
21188,0.451927,2,0.425532,0.049478,0.741148,0.00323,0.638529,0.608772,DOWN
16586,0.438476,4,0.553191,0.063468,0.523654,0.003467,0.422915,0.414912,UP
30124,0.867926,6,0.595745,0.034856,0.751413,0.002185,0.534438,0.763596,UP
27556,0.473165,2,0.085106,0.023958,0.13017,0.001618,0.237442,0.557456,DOWN
45235,0.915756,6,0.404255,0.090309,0.598334,0.006053,0.576903,0.410088,UP
30248,0.868059,2,0.170213,0.022307,0.068432,0.000839,0.128949,0.902193,DOWN
247,0.000221,7,0.148936,0.062417,0.07349,0.003467,0.422915,0.414912,UP
37973,0.893722,2,0.106383,0.033626,0.228801,0.002152,0.325479,0.683772,DOWN
22360,0.456042,5,0.851064,0.040651,0.663195,0.002773,0.553858,0.448246,DOWN
10951,0.031592,6,0.148936,0.05302,0.085986,0.003467,0.422915,0.414912,DOWN
11505,0.424494,3,0.702128,0.056923,0.197114,0.003467,0.422915,0.414912,DOWN
2915,0.008805,6,0.744681,0.041912,0.609789,0.003467,0.422915,0.414912,DOWN
10511,0.031149,3,1.0,0.074817,0.39884,0.003467,0.422915,0.414912,UP
1155,0.001062,5,0.06383,0.077999,0.392443,0.003467,0.422915,0.414912,UP
41334,0.902925,2,0.12766,0.038009,0.15055,0.00248,0.259192,0.677193,DOWN
12147,0.425114,3,0.06383,0.058394,0.189229,0.003467,0.422915,0.414912,DOWN
15951,0.437901,5,0.319149,0.05326,0.402112,0.003467,0.422915,0.414912,UP
5414,0.014159,2,0.808511,0.045485,0.626004,0.003467,0.422915,0.414912,DOWN
36153,0.991018,6,0.191489,0.032665,0.223445,0.002092,0.291559,0.774123,DOWN
3496,0.009336,4,0.851064,0.151765,0.746206,0.003467,0.422915,0.414912,UP
30259,0.868059,2,0.404255,0.029963,0.33011,0.000841,0.223459,0.814474,UP
13311,0.429229,6,0.319149,0.077369,0.376525,0.003467,0.422915,0.414912,DOWN
22954,0.456617,4,0.212766,0.025489,0.27834,0.001568,0.293112,0.855702,DOWN
1755,0.004646,3,0.574468,0.152756,0.580928,0.003467,0.422915,0.414912,UP
2978,0.008893,1,0.042553,0.041582,0.325945,0.003467,0.422915,0.414912,DOWN
6323,0.018052,7,0.744681,0.081092,0.351235,0.003467,0.422915,0.414912,UP
10424,0.031105,2,0.170213,0.074787,0.163344,0.003467,0.422915,0.414912,UP
162,0.000133,5,0.382979,0.149664,0.542101,0.003467,0.422915,0.414912,UP
20096,0.447812,7,0.680851,0.041702,0.454775,0.002786,0.364319,0.58114,UP
10860,0.031503,4,0.255319,0.10496,0.357632,0.003467,0.422915,0.414912,UP
17253,0.442193,4,0.446809,0.10583,0.537043,0.003467,0.422915,0.414912,UP
26893,0.469448,2,0.276596,0.05275,0.423088,0.003529,0.571207,0.229825,UP
32671,0.87651,3,0.659574,0.030863,0.580333,0.00198,0.571466,0.62193,UP
44021,0.911553,2,0.106383,0.02648,0.131062,0.001718,0.278353,0.677632,DOWN
9119,0.026769,2,1.0,0.087276,0.40122,0.003467,0.422915,0.414912,UP
29841,0.867661,7,0.702128,0.077999,0.426064,0.005168,0.641119,0.384649,UP
30994,0.871776,3,0.723404,0.02663,0.490479,0.00171,0.644485,0.521053,DOWN
37148,0.889828,5,0.93617,0.088777,0.657542,0.005083,0.518384,0.634649,UP
3888,0.009734,6,0.0,0.059025,0.552812,0.003467,0.422915,0.414912,DOWN
28825,0.474315,7,0.531915,0.025129,0.257066,0.001666,0.153806,0.861842,DOWN
30811,0.871599,6,0.914894,0.02648,0.463106,0.001539,0.348524,0.817982,DOWN
38055,0.893766,3,0.829787,0.073826,0.722702,0.004969,0.601502,0.452632,UP
43480,0.907969,4,0.851064,0.042933,0.44823,0.002908,0.499223,0.37807,DOWN
5034,0.013805,1,0.893617,0.10478,0.689973,0.003467,0.422915,0.414912,UP
12687,0.425601,7,0.319149,0.076258,0.239215,0.003467,0.422915,0.414912,UP
34019,0.880802,3,0.744681,0.031284,0.487801,0.002067,0.5145,0.608333,UP
21307,0.452015,4,0.914894,0.033626,0.609194,0.002291,0.475401,0.549123,DOWN
5791,0.017566,3,0.659574,0.064849,0.452098,0.003467,0.422915,0.414912,DOWN
25780,0.465378,7,0.085106,0.02621,0.222404,0.001759,0.291559,0.677193,DOWN
29567,0.867395,1,1.0,0.025129,0.23981,0.001639,0.307354,0.796053,DOWN
985,0.000885,1,0.531915,0.209109,0.510711,0.003467,0.422915,0.414912,UP
4047,0.009867,2,0.319149,0.075267,0.632699,0.003467,0.422915,0.414912,UP
999,0.000885,1,0.829787,0.189204,0.610086,0.003467,0.422915,0.414912,UP
7787,0.022521,3,0.234043,0.066861,0.202321,0.003467,0.422915,0.414912,DOWN
20757,0.451529,7,0.446809,0.03957,0.617525,0.002613,0.465821,0.704825,DOWN
21465,0.452192,1,0.191489,0.028552,0.129723,0.001944,0.13361,0.65614,DOWN
40168,0.898766,5,0.851064,0.054762,0.632847,0.003587,0.573796,0.481579,DOWN
24221,0.46082,2,0.617021,0.033025,0.475751,0.002264,0.457017,0.270614,DOWN
13975,0.429848,6,0.148936,0.059475,0.123326,0.003467,0.422915,0.414912,DOWN
702,0.000619,2,0.638298,0.122703,0.458792,0.003467,0.422915,0.414912,UP
3620,0.009469,7,0.425532,0.041732,0.514579,0.003467,0.422915,0.414912,DOWN
2900,0.008805,6,0.425532,0.041762,0.540762,0.003467,0.422915,0.414912,DOWN
8152,0.022831,3,0.851064,0.050648,0.437519,0.003467,0.422915,0.414912,DOWN
36927,0.889651,1,0.319149,0.022727,0.284142,0.001159,0.188503,0.834649,DOWN
7132,0.021902,3,0.595745,0.048487,0.448527,0.003467,0.422915,0.414912,DOWN
24801,0.464448,7,0.702128,0.026991,0.267926,0.001807,0.220611,0.63114,DOWN
30004,0.867838,4,0.085106,0.02663,0.170931,0.000839,0.292595,0.749123,DOWN
15427,0.434361,1,0.404255,0.059115,0.515769,0.003467,0.422915,0.414912,UP
41289,0.90288,1,0.191489,0.024889,0.081821,0.001624,0.150181,0.704386,DOWN
17559,0.442414,3,0.829787,0.073976,0.459982,0.005031,0.496634,0.500526,DOWN
12836,0.425733,3,0.425532,0.101477,0.553704,0.003467,0.422915,0.414912,UP
11823,0.424804,3,0.319149,0.058394,0.351979,0.003467,0.422915,0.414912,DOWN
34205,0.880979,7,0.617021,0.028942,0.316572,0.000673,0.244951,0.706579,UP
41664,0.903234,2,0.0,0.067882,0.318506,0.004265,0.379596,0.537719,UP
44408,0.911907,3,0.170213,0.042903,0.195478,0.002779,0.263594,0.693421,DOWN
8384,0.023052,1,0.680851,0.103158,0.463701,0.003467,0.422915,0.414912,UP
42478,0.90704,4,0.978723,0.098325,0.489586,0.006764,0.596841,0.36886,UP
35690,0.885448,3,0.553191,0.029272,0.531836,0.001973,0.55101,0.463596,DOWN
24382,0.460953,5,0.978723,0.048097,0.542398,0.003299,0.454428,0.407895,UP
32012,0.87589,3,0.93617,0.033055,0.464445,0.001429,0.352408,0.769298,DOWN
31609,0.872351,2,0.531915,0.028642,0.561886,0.001766,0.559037,0.767105,DOWN
34673,0.881421,3,0.361702,0.029422,0.506099,0.00205,0.5826,0.300877,DOWN
26345,0.468917,4,0.87234,0.027861,0.342904,0.001888,0.329622,0.396053,DOWN
14758,0.433742,1,0.468085,0.076168,0.530794,0.003467,0.422915,0.414912,UP
26248,0.468829,2,0.851064,0.028011,0.385153,0.001894,0.275505,0.462719,DOWN
23435,0.460112,7,0.234043,0.02678,0.172419,0.001768,0.197566,0.645614,DOWN
29599,0.867439,2,0.659574,0.043623,0.623773,0.002933,0.806577,0.12807,UP
44055,0.911553,2,0.829787,0.043923,0.448527,0.002879,0.450803,0.49693,DOWN
25240,0.477988,2,0.851064,0.037979,0.456709,0.002646,0.406525,0.256579,UP
1299,0.004248,1,0.06383,0.043983,0.236537,0.003467,0.422915,0.414912,DOWN
25919,0.465466,2,1.0,0.029693,0.386938,0.002034,0.35448,0.486404,DOWN
2646,0.008584,1,0.12766,0.042272,0.186849,0.003467,0.422915,0.414912,DOWN
29590,0.867439,2,0.468085,0.029212,0.600714,0.001942,0.723718,0.432456,DOWN
6670,0.018362,7,0.978723,0.0789,0.367748,0.003467,0.422915,0.414912,UP
26067,0.465643,6,0.06383,0.028732,0.209461,0.001973,0.321854,0.338158,DOWN
15601,0.434538,5,0.021277,0.043743,0.26391,0.003467,0.422915,0.414912,DOWN
45195,0.915712,5,0.574468,0.11856,0.576912,0.008027,0.626359,0.389035,UP
6534,0.018274,5,0.12766,0.040381,0.171526,0.003467,0.422915,0.414912,DOWN
493,0.000442,5,0.276596,0.14447,0.444511,0.003467,0.422915,0.414912,UP
42881,0.907438,6,0.361702,0.086556,0.494644,0.005891,0.558001,0.361842,UP
15088,0.434052,1,0.340426,0.067581,0.544481,0.003467,0.422915,0.414912,UP
36831,0.889562,6,0.319149,0.040261,0.618268,0.002804,0.585707,0.333772,UP
36008,0.977744,3,0.170213,0.035307,0.225528,0.002273,0.34464,0.755263,DOWN
12445,0.425379,2,0.276596,0.062838,0.400625,0.003467,0.422915,0.414912,DOWN
30681,0.87151,4,0.191489,0.032875,0.267331,0.001014,0.299068,0.901754,DOWN
18036,0.442857,6,0.765957,0.072025,0.666022,0.004859,0.591403,0.442105,UP
43198,0.907703,5,0.978723,0.086556,0.470693,0.00592,0.510357,0.399123,UP
7774,0.022477,2,0.978723,0.083794,0.416394,0.003467,0.422915,0.414912,UP
33159,0.876952,6,0.829787,0.028882,0.425915,0.001975,0.410409,0.414912,DOWN
28853,0.47436,1,0.106383,0.021016,0.03734,0.001398,0.134386,0.791228,DOWN
24420,0.460997,6,0.765957,0.031494,0.51681,0.002167,0.453392,0.355702,DOWN
23664,0.460334,5,0.0,0.042452,0.49152,0.0029,0.42957,0.429386,DOWN
39977,0.898589,1,0.87234,0.096463,0.613062,0.006151,0.445365,0.493421,UP
22582,0.456263,3,0.468085,0.037108,0.575275,0.002516,0.60435,0.472368,DOWN
8443,0.023096,2,0.914894,0.100997,0.391699,0.003467,0.422915,0.414912,UP
9506,0.027167,4,0.042553,0.051219,0.240107,0.003467,0.422915,0.414912,DOWN
